,DateTime,Tweet_Id,Tweet,User_Id,Retweet,Location,Label,Score
0,02-12-2021 11:13,1.47E+18,I have be wear a mask since this begin I enrol in AstraZeneca trial 1 year ago I do receiv,1.37E+18,0,,Neutral,
1,02-12-2021 11:12,1.47E+18,Trigger behind extremely rare AstraZeneca vaccine blood clot may have be discover From,48089305,7,,Highly_Negative,
2,02-12-2021 11:12,1.47E+18,READ A total of 1 632 900 dos of the AstraZeneca vaccine arrive on Tuesday the first batch of a multi million Covid 19 va,192849591,2,,Weakly_Positive,
3,02-12-2021 11:12,1.47E+18,Over 14 000 AstraZeneca COVID 19 jab expire in Negros Occidental official COVID19VaccinePH,15872418,5,,Neutral,
4,02-12-2021 11:12,1.47E+18,Just check Its wall to wall Pfizer with the odd Moder,228581274,0,,Highly_Negative,
5,02-12-2021 11:12,1.47E+18,Covid late news Trigger of blood clot with AstraZeneca jab find by scientist via,16343974,0,,Highly_Negative,
6,02-12-2021 11:12,1.47E+18,Well colour me surprised No wonder the bbc be hit on and trashingthem,1.38E+18,0,,Weakly_Positive,
7,02-12-2021 11:11,1.47E+18,How many will be throw away a they get past their use by date a 600 000 AstraZeneca dos be,1.33E+18,0,,Weakly_Positive,
8,02-12-2021 11:09,1.47E+18,The global vaccine rollout have not be so different to how 1 of Britain s imperial government wld have handle such,1.25E+18,2,"Münster, Germany",Neutral,
9,02-12-2021 11:09,1.47E+18,More than 1 million Pfizer COVID 19 vaccine procure by PH government have arrive at the NAIA Terminal 3 on Wednesday nig,15872418,9,"Iloilo City, Western Visayas",Highly_Positive,
10,02-12-2021 11:09,1.47E+18,Covid Trigger of rare blood clot with AstraZeneca jab find by scientist BBC News,519919379,15,,Weakly_Positive,
11,02-12-2021 11:08,1.47E+18,See we drop the brexit vaccine pretty quick,19058678,0,"Kingston upon Thames, London",Weakly_Positive,
12,02-12-2021 11:08,1.47E+18,Covid Trigger of rare blood clot with AstraZeneca jab find by scientist BBC News,3131144855,0,UK  ,Weakly_Positive,
13,02-12-2021 11:07,1.47E+18,Let s consider why the vaccine should not have be approve million should never have be vaxxed,1017165714,0,"Near London, UK. Programmer: ",Neutral,
14,02-12-2021 11:07,1.47E+18,Remember the EU parliamentarian expose the secrecy of the term of the contract between the EU commission and Pfizer,30182005,194,,Neutral,
15,02-12-2021 11:06,1.47E+18,This require a series of unlucky event which could explain why the clot be so rare Hm so rare Co,1.26E+18,8,,Weakly_Positive,
16,02-12-2021 11:06,1.47E+18,RIP Woman 51 AstraZeneca vaccine cause her death Mother of two Michelle Barlow 51 from,1.38E+18,2,,Neutral,
17,02-12-2021 11:06,1.47E+18,The EU s vaccine programme be a huge success in spite of AstraZeneca s f,1.05E+18,0,,Weakly_Positive,
18,02-12-2021 11:06,1.47E+18,Covid late news Trigger of blood clot with AstraZeneca jab find by scientist via,1.15E+18,1,,Highly_Negative,
19,02-12-2021 11:05,1.47E+18,Covid late news Trigger of blood clot with AstraZeneca jab find by scientist via,16343974,1,,Highly_Negative,
