,DateTime,Tweet_Id,Tweet,User_Id,Retweet,Location,Label,Country
0,2021-12-02 11:15:17,1466365347586400266,Don t worry COVAXIN be effective on new variant,139189823,0,,Weakly_Positive,
1,2021-12-02 11:12:07,1466364552728104965,9 x amp there be already theory come out leave amp right from the actual maker of COVAXIN as well a the scientist wh,1456357158803709958,1,,Weakly_Positive,
2,2021-12-02 11:12:04,1466364538236768259,10 10 To sum it all up I believe in COVAXIN because I believe in the science Multiple antigens capable of attack,1456357158803709958,1,,Weakly_Positive,
3,2021-12-02 11:12:00,1466364520838795274,As I once state I d have to have you in a room in front of me with a white board to explain ALL of the DD I ve compile,1456357158803709958,11,,Neutral,
4,2021-12-02 11:08:17,1466363586595500034,FDA should u hold COVAXIN OCGN Covaxinapproval and bring the world out of trouble,39743812,0,,Highly_Negative,
5,2021-12-02 11:05:42,1466362937224876038,Approve COVAXIN and end this nonsense,780438571316543489,1,,Neutral,
6,2021-12-02 10:51:23,1466359332254191619,Canada will allow entry to person vaccinate with COVAXIN vaccine from today,155267079,388,"Budapest, Hungary",Neutral,
7,2021-12-02 10:51:00,1466359238217932802,Approve COVAXIN and end this nonsense,208120290,1,"Budapest, Hungary",Neutral,
8,2021-12-02 10:45:14,1466357784211980294,What the actual f ck OCGN COVAXIN,1456357158803709958,15,United States,Neutral,
9,2021-12-02 10:43:04,1466357242119131136,COVAXIN Approved it or you guy just DIGGING PEOPLES GRAVE ENOUGH be ENOUGH PHARMA with MRNA already mad,1449092858418372608,1,United States,Highly_Negative,
10,2021-12-02 10:42:13,1466357027756720131,Your organization be an absolute embarrassment to the American people Approve COVAXIN already US FDA have,208120290,0,,Weakly_Positive,
11,2021-12-02 10:41:45,1466356911356329986,COVAXIN Approved it or you guy just DIGGING PEOPLES GRAVE ENOUGH be ENOUGH PHARMA with MRNA alread,208120290,1,United States,Neutral,
12,2021-12-02 10:38:02,1466355972868390915,It s disappoint that after all documentation of COVAXIN it feel like foot be be drag With grea,208120290,0,Malta ,Highly_Negative,
13,2021-12-02 10:36:09,1466355499578843136,time for covaxin from all vaccine matter,14216123,0,western new york ,Neutral,
14,2021-12-02 10:34:13,1466355014427893765,Not get a booster until Covaxin be available,813286,0,,Weakly_Positive,
15,2021-12-02 10:19:18,1466351257971412995,OmicronVariant have score one resound success It have re ignite the mine be good than yours jingoistic VaccineNat,326142866,1,,Highly_Positive,
16,2021-12-02 10:15:27,1466350291331084290,For those especially CONgis who cry hoarse when Covaxin get approval Hello,332188446,10,"Bengaluru, India",Neutral,
17,2021-12-02 10:11:51,1466349383151017986,vaccinate kid before start school What happen to COVAXIN for kid in india Sending kid to school without,246695443,131,"Mumbai, India",Neutral,
18,2021-12-02 10:04:29,1466347530929778688,Let me understand this To protect BigPharma we will shun the one vax that can end this let the stock market and economy d,1392983778709082112,1,,Neutral,
19,2021-12-02 09:57:49,1466345854994763779,Which currently be COVAXIN but their not currently pay off politician so doubtful you,1418436717279911938,0,,Highly_Negative,
20,2021-12-02 09:55:50,1466345353549123585,Or we can approve covaxin which have be sit on desk and that protect against OMICRON now,2704294333,2,,Neutral,
21,2021-12-02 09:50:46,1466344079071997953,Inactivated virus vaccine like Covaxin may be more protective against a variant with spike protein mutation a they d h,274606076,2,"Punjab, India",Highly_Positive,
22,2021-12-02 09:46:21,1466342968353345536,All eye on COVAXIN Ready for launch in the US and Canada Set on hold instead of fast track,14173315,0,,Weakly_Positive,
23,2021-12-02 09:44:19,1466342455977164804,All eye on COVAXIN Ready for launch in the US and Canada Set on hold instead of fast track,1367531,0,,Weakly_Positive,
24,2021-12-02 09:41:22,1466341715623780352,All eye on COVAXIN Ready for launch in the US and Canada Set on hold instead of fast tracking,759251,0,,Weakly_Positive,
25,2021-12-02 09:39:46,1466341312572104707,All eye on COVAXIN Ready for launch in the US and Canada Set on hold instead of fast tra,380285402,0,,Weakly_Positive,
26,2021-12-02 09:36:53,1466340587297193985,do we have any insight on the covaxin approval status in Germany Covaxinapproval Germany Covaxin,3066016678,0,"Pune, Maharashtra",Neutral,
27,2021-12-02 09:31:58,1466339347884560386,With respect how long people will suffer in US Why not allow COVAXIN for US p,268664973,4,Belgium,Highly_Negative,
28,2021-12-02 09:29:04,1466338617098387456,Only the inactivated vaccine like COVAXIN which have a much broad exposure because they be usin,14260960,0,,Weakly_Positive,
29,2021-12-02 09:28:16,1466338416459669504,Only the inactivated vaccine like COVAXIN which have a much broad exposure because they be usin,14260960,0,,Weakly_Positive,
30,2021-12-02 09:27:29,1466338218819801089,COVAXIN would prove to be effective against all variant coz this be the only vaccine which be be deve,1223446315670986758,6,Bhārat,Weakly_Positive,
31,2021-12-02 09:26:57,1466338086997172227,Only the inactivated vaccine like COVAXIN which have a much broad exposure because they be usin,14260960,0,,Weakly_Positive,
32,2021-12-02 09:22:12,1466336890093723649,Only the inactivated vaccine like COVAXIN which have a much broad exposure because,39844876,0,,Weakly_Positive,
33,2021-12-02 09:20:28,1466336454699794437,So you halt the bridge study without further explanation Why be you slow walk the approval process for Covaxin,208120290,0,,Highly_Negative,
34,2021-12-02 09:06:02,1466332823401365508,Desi CovidVaccine be well Good work by COVAXIN,2590932906,0,"New Delhi, India",Highly_Positive,
35,2021-12-02 09:03:45,1466332246369992704,I spend 30 year of my life serve community and this Country It kind of itch me the wrong way when I see injustice a,239448774,7,,Weakly_Positive,
36,2021-12-02 09:03:41,1466332229936635914,Dear Mr Emmanuel Lemain Bonjour Dear Sir Madam My son be fully vac,1562957431,0,"Bangalore, India",Neutral,
